PDF Number,Course Name,Link
144.pdf,Mechanisms in Organic Chemistry,https://drive.google.com/file/d/1wvYmSV0QJ3BI-_SEhlQVzM8CLmvQd7TL/view?usp=sharing
145.pdf,Human Molecular Genetics,https://drive.google.com/file/d/1x-n0xdFQOmiF-N-2lZLCPRnRXvjhvH58/edit
146.pdf,Outcome Based Pedagogic Principles for Effective Teaching,https://drive.google.com/file/d/1xUaNlJt7rTfZzCMbkIP5k8KId_sq7P4F/view?usp=sharing
147.pdf,Financial Accounting,https://drive.google.com/file/d/1xmq-S2PruIlc-aDsLSBc4vJcaDA7_QQh/view?usp=sharing
148.pdf,Analysis and Design Principles of Microwave Antennas,https://drive.google.com/file/d/1xwh8bMxeVUFJioXewzE5A64a_2Hr4tQ5/view?usp=sharing
149.pdf,Structural Dynamics for Civil Engineers - SDOF systems,https://drive.google.com/file/d/1y6QtjBF7zI2VgblJIwdKrONP70i57hNB/view?usp=sharing
150.pdf,Appreciating Linguistics: A Typological Approach,https://drive.google.com/file/d/1y_g0a2DrPK7mWnHqMv3lY3qC_oNSyTHD/view?usp=sharing
151.pdf,Introduction to Wireless and Cellular Communications,https://drive.google.com/file/d/1yxfmA4GQPe2N0wqvxQmhmzPGGpvFzJD-/view?usp=sharing
152.pdf,Bioreactors,https://drive.google.com/file/d/1zMg2HnXLfAsddRPNDzhFicbh-QKlH1w7/view?usp=sharing
153.pdf,Design of PhotoVoltaic Systems,https://drive.google.com/file/d/1zaCxqJLefqBl-PydpiscdIYKShMqM3Oq/view?usp=sharing
