PDF Number,Course Name,Link
168.pdf,Poetry,https://drive.google.com/file/d/1JAp4o3ivHoliQl9KAIY7yFgF_sgv10mi/view
169.pdf,Introduction to Aerospace Engineering - Flight,https://drive.google.com/file/d/1J_rqw-I4xHb7XKhoRLzaFBAcMhXFJC_v/view
170.pdf,MCDM Techniques Using R,https://drive.google.com/file/d/1JhXTBAUnqYJXpgbF-91LFescVvas-GUG/view
171.pdf,Fundamentals of Combustion,https://drive.google.com/file/d/1Jmygemvje1pMRbq-MejpShL088-cZIp8/view?usp=drivesdk
172.pdf,Ecology and Environment,https://drive.google.com/file/d/1JnwzdIqKSnSPWwXzfc_feteIHe770KoF/view
173.pdf,Combustion in air breathing aero engines,https://drive.google.com/file/d/1JoDrGGr7lcrGFJxG1-b_-lhrEtfvqLmD/view
174.pdf,Nanotechnology in Agriculture,https://drive.google.com/file/d/1JtCaZOzHr5fX0jB88m3ARzcSgr-XAzAq/view
175.pdf,Manufacturing of Composites,https://drive.google.com/file/d/1KCKfDDGBOWJ09qWsDe-mVnz85f4kBLKi/view
176.pdf,Introduction to Classical Mechanics,https://drive.google.com/file/d/1KFb4gZ6-aEahapKMdBd8_sNEDShSLKfk/view
177.pdf,Structural Analysis of Nanomaterials,https://drive.google.com/file/d/1KGTnouVvGpFuNedWAfVy9oc1sP78l6dU/view
178.pdf,Thermodynamics for Biological Systems : Classical and Statistical Aspect,https://drive.google.com/file/d/1KLBMFmMt7u93yRMc2b2ReFWm-vNiz7p-/view?usp=drivesdk
179.pdf,Right to Information and Good Governance,https://drive.google.com/file/d/1KVqVTHItIe2bYiH4prolst0O6TMk73ZP/view?usp=drivesdk
180.pdf,Fiber Optics,https://drive.google.com/file/d/1Kc38fd_JBp2U05GTMzpe-aYMca4j7tLy/view
181.pdf,Data Science for Engineers,https://drive.google.com/file/d/1Kia3XhbJugl8YYnKQIrelNriWdmX7tvW/view
182.pdf,"Dealing with materials data : collection, analysis and interpretation",https://drive.google.com/file/d/1KipJz1iDMXKTcmtk08Zdm0Hc22_7ceKp/view?usp=drivesdk
183.pdf,Bioinorganic Chemistry,https://drive.google.com/file/d/1KnhXLFH9M44XmKSNrS6RsCE6j_ciKb0J/view
184.pdf,Design of photovoltaic systems,https://drive.google.com/file/d/1KrpI9RUcFmOMH3mVm9Qdwa0UYfBKU13_/view
185.pdf,Group Theory methods in Physics,https://drive.google.com/file/d/1LFE-OFt4l3rzZpZvVBvOskfNoNS2rlLJ/view?usp=drivesdk
186.pdf,Indian Business History,https://drive.google.com/file/d/1LLHVh2MNEnsz-NMi9qmz7LNAKQt_Wz7F/view?usp=drivesdk
187.pdf,Wheeled Mobile Robots,https://drive.google.com/file/d/1LRH1H0fXonibaLRZIr9tzPFd9PKyQ5oI/view?usp=drivesdk
188.pdf,"Introduction to Fuzzy Set Theory, Arithmetic and Logic",https://drive.google.com/file/d/1Lueu6ALfPJZQTIzLJs9Exgi8CA4JWQnb/view
189.pdf,Introduction to Electromagnetism,https://drive.google.com/file/d/1MMEuys44vafMrapIoVwbX6XZ5gO7N0oh/view
190.pdf,Electromagnetic theory,https://drive.google.com/file/d/1MfpHT1RuIF7OK2AzMgaD-8v4ZWaiS8yy/view
191.pdf,Introduction to Basic Cognitive Processes,https://drive.google.com/file/d/1Ml-GiyZdLLgIU8Ca6o0jcMMhh8MIttxl/view
192.pdf,High Performance Computing for Scientists and Engineers,https://drive.google.com/file/d/1MpOG8rYOb55W3lgJVtcGYODX4Vz76ORL/view?usp=drivesdk
193.pdf,Data Analytics with Python,https://drive.google.com/file/d/1N3JrAgx10C-pJsdY2tHn55EkAgspDENg/view?usp=drivesdk
194.pdf,Roadmap for patent creation,https://drive.google.com/file/d/1N6aZr3T1u8KEeemi9RROludGdTAbRBUN/view
195.pdf,Introduction to Mechanical Vibration,https://drive.google.com/file/d/1NaP5o68SYT8qHcWe9vCMKD7OmzLD6lRr/view
196.pdf,"Energy Resources, Economics and Environment",https://drive.google.com/file/d/1Ndn32ykytW2JV2eLHtR1KrqpHzGwTqBM/view?usp=drivesdk
197.pdf,Design Thinking - A Primer,https://drive.google.com/file/d/1O34NfmtQHJgRBGXuXn4cvwDsqVvpV76X/view
198.pdf,Enhancing Soft Skills and Personality,https://drive.google.com/file/d/1O6NpOLVtaFwPLhqz9PM6rvBIStJcIYCi/view
199.pdf,Teaching and Learning in General Programs: TALG,https://drive.google.com/file/d/1ODSxV5Xe7TEyqsNpLQZIpkylZRUfj4vm/view
200.pdf,Teaching and Learning in General Programs: TALG,https://drive.google.com/file/d/1ODSxV5Xe7TEyqsNpLQZIpkylZRUfj4vm/view
201.pdf,Essentials of Data Science With R Software - 2: Sampling Theory and Linear Regression Analysis,https://drive.google.com/file/d/1OF4xOyu5JynSxSFQjnFC3gvbug866JJK/view?usp=drivesdk
